Process 0: Starting ES0:100 training on Rosen dataset at Sat Nov 11 19:22:17 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:17 2017
Process 1: Starting ES1:150 training on Rosen dataset at Sat Nov 11 19:22:17 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:17 2017
Process 2: Starting ES2:200 training on Rosen dataset at Sat Nov 11 19:22:18 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:18 2017
ES0: Generation 0, Mean Error: 10800.612012294709
Process 3: Starting ES3:250 training on Rosen dataset at Sat Nov 11 19:22:18 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:18 2017
ES0: Generation 380, Mean Error: 6568.676978498293
ES1: Generation 290, Mean Error: 6772.866578462774
ES2: Generation 250, Mean Error: 9333.168442030114
ES0: Generation 390, Mean Error: 6490.564802993545
ES3: Generation 210, Mean Error: 8467.300833068184
ES1: Generation 300, Mean Error: 7178.473456186697
ES2: Generation 260, Mean Error: 9743.979674206452
ES0: Generation 400, Mean Error: 6271.4618245824395
ES1: Generation 310, Mean Error: 7231.302798696939
ES0: Generation 410, Mean Error: 6327.295117651467
ES2: Generation 270, Mean Error: 10076.05228863661
ES3: Generation 220, Mean Error: 7974.037119582912
ES0: Generation 420, Mean Error: 6270.799744601888
ES1: Generation 320, Mean Error: 7269.036520228412
ES2: Generation 280, Mean Error: 10100.958329450461
ES0: Generation 430, Mean Error: 6263.355034525612
ES3: Generation 230, Mean Error: 8015.620350587616
ES1: Generation 330, Mean Error: 7837.284655516422
ES0: Generation 440, Mean Error: 6282.083929686271
ES2: Generation 290, Mean Error: 9932.801218062314
ES1: Generation 340, Mean Error: 6867.01665862627
ES3: Generation 240, Mean Error: 8298.879554454255
ES0: Generation 450, Mean Error: 6573.348674981252
ES2: Generation 300, Mean Error: 8563.737653912529
ES0: Generation 460, Mean Error: 6628.001456031599
ES1: Generation 350, Mean Error: 6614.696837385118
ES3: Generation 250, Mean Error: 7827.747716039997
ES0: Generation 470, Mean Error: 6600.98101026315
ES2: Generation 310, Mean Error: 9495.335507903215
ES1: Generation 360, Mean Error: 6535.865486218317
ES0: Generation 480, Mean Error: 6662.584304668961
ES3: Generation 260, Mean Error: 7572.584319689686
ES2: Generation 320, Mean Error: 8927.779563833128
ES1: Generation 370, Mean Error: 6605.519054092113
ES0: Generation 490, Mean Error: 6544.636364409738
ES0: Generation 500, Mean Error: 6569.210074935989
ES1: Generation 380, Mean Error: 6734.096896042606
ES2: Generation 330, Mean Error: 9728.534267509049
ES3: Generation 270, Mean Error: 7401.059013719035
ES0: Generation 510, Mean Error: 6658.3856544498585
ES1: Generation 390, Mean Error: 6607.580370915924
ES2: Generation 340, Mean Error: 8756.901207085391
ES0: Generation 520, Mean Error: 6695.422422960911
ES3: Generation 280, Mean Error: 7177.231339676366
ES1: Generation 400, Mean Error: 7052.134174411196
ES0: Generation 530, Mean Error: 6710.065753127005
ES2: Generation 350, Mean Error: 7785.454436071111
ES0: Generation 540, Mean Error: 6616.1031122734885
ES3: Generation 290, Mean Error: 7194.755369296225
ES1: Generation 410, Mean Error: 6872.405779355724
ES0: Generation 550, Mean Error: 6393.563850606938
ES2: Generation 360, Mean Error: 7555.270402713872
ES1: Generation 420, Mean Error: 6673.622264430858
ES0: Generation 560, Mean Error: 6326.229482811281
ES3: Generation 300, Mean Error: 7507.0856383898035
ES2: Generation 370, Mean Error: 7454.240065059853
ES1: Generation 430, Mean Error: 6475.290475739935
ES0: Generation 570, Mean Error: 6262.691796535677
ES3: Generation 310, Mean Error: 7738.180335885466
ES0: Generation 580, Mean Error: 6305.31331424311
ES2: Generation 380, Mean Error: 8093.468967779523
ES1: Generation 440, Mean Error: 6691.320270292806
ES0: Generation 590, Mean Error: 6310.13380474716
ES1: Generation 450, Mean Error: 6690.642325164767
ES2: Generation 390, Mean Error: 8217.775707961728
ES3: Generation 320, Mean Error: 7577.019218645328
ES0: Generation 600, Mean Error: 6350.724048864083
ES1: Generation 460, Mean Error: 6820.364896269625
ES0: Generation 610, Mean Error: 6336.609717698611
ES2: Generation 400, Mean Error: 7785.67034120749
ES3: Generation 330, Mean Error: 7218.3766484356665
ES0: Generation 620, Mean Error: 6260.271926308411
ES1: Generation 470, Mean Error: 7137.323647303004
ES2: Generation 410, Mean Error: 7924.351228401844
ES0: Generation 630, Mean Error: 6554.739253292139
ES3: Generation 340, Mean Error: 6975.526432760353
ES1: Generation 480, Mean Error: 7450.8697076357785
ES0: Generation 640, Mean Error: 6451.139545312015
ES2: Generation 420, Mean Error: 7928.0850757135595
ES1: Generation 490, Mean Error: 7767.982805686628
ES0: Generation 650, Mean Error: 6471.816554289518
ES3: Generation 350, Mean Error: 6737.092384521413
ES2: Generation 430, Mean Error: 7774.09569010606
