Process 0: Starting GA0 training on Rosen dataset at Sat Nov 11 19:23:09 2017
Setting up the network with 2 inputs and 1 output(s)
Process 1: Starting GA1 training on Rosen dataset at Sat Nov 11 19:23:09 2017
Setting up the network with 2 inputs and 1 output(s)
GA3: Generation 2800, Mean Error: 6078.8896204753755
GA1: Generation 2800, Mean Error: 6016.31285339334
GA2: Generation 2900, Mean Error: 6121.117646066996
GA0: Generation 2900, Mean Error: 6007.467430453801
GA3: Generation 2900, Mean Error: 6006.948026092677
GA1: Generation 2900, Mean Error: 5996.343775503096
GA2: Generation 3000, Mean Error: 6097.591783299467
GA0: Generation 3000, Mean Error: 5865.138305024328
GA3: Generation 3000, Mean Error: 5979.3361102011395
GA1: Generation 3000, Mean Error: 6041.2934693612315
GA0: Generation 3100, Mean Error: 5847.527116000387
GA2: Generation 3100, Mean Error: 6052.36346357527
GA3: Generation 3100, Mean Error: 5961.311573925093
GA1: Generation 3100, Mean Error: 5948.436181783284
GA0: Generation 3200, Mean Error: 5910.394313811005
GA2: Generation 3200, Mean Error: 6083.705724358243
GA3: Generation 3200, Mean Error: 6024.33666963265
GA1: Generation 3200, Mean Error: 6061.337930285664
GA0: Generation 3300, Mean Error: 5935.686753772881
GA2: Generation 3300, Mean Error: 6048.9613409004505
GA3: Generation 3300, Mean Error: 5909.889114636169
GA1: Generation 3300, Mean Error: 6211.156938995764
GA0: Generation 3400, Mean Error: 5957.566435338929
GA2: Generation 3400, Mean Error: 5937.136623733882
GA3: Generation 3400, Mean Error: 5958.492125269856
GA1: Generation 3400, Mean Error: 6170.196594460026
GA0: Generation 3500, Mean Error: 5908.914361134767
GA2: Generation 3500, Mean Error: 5934.034162942854
GA3: Generation 3500, Mean Error: 6053.805196027548
GA1: Generation 3500, Mean Error: 6206.589086462363
GA0: Generation 3600, Mean Error: 5872.4198119601015
GA2: Generation 3600, Mean Error: 5997.758080305256
GA3: Generation 3600, Mean Error: 5962.374574848312
GA1: Generation 3600, Mean Error: 6179.598969415917
GA0: Generation 3700, Mean Error: 5950.054136975171
GA2: Generation 3700, Mean Error: 6180.632282087853
GA3: Generation 3700, Mean Error: 5994.572675292463
GA1: Generation 3700, Mean Error: 6164.019056650944
GA0: Generation 3800, Mean Error: 5983.082121673317
GA2: Generation 3800, Mean Error: 6246.755531354068
GA3: Generation 3800, Mean Error: 5957.805189867653
GA1: Generation 3800, Mean Error: 6095.464670462219
GA0: Generation 3900, Mean Error: 5952.118757906523
GA2: Generation 3900, Mean Error: 6071.873606762588
GA3: Generation 3900, Mean Error: 5959.883409209663
GA1: Generation 3900, Mean Error: 6038.84870991817
