Setting up the network with 2 inputs and 1 output(s)
Starting GA training at Fri Nov 10 17:25:26 2017
Generation 745, Mean Error: 10537.038806491713
Generation 750, Mean Error: 10666.914722054287
Generation 755, Mean Error: 10491.846075642454
Generation 760, Mean Error: 10468.259052905794
Generation 765, Mean Error: 10501.32937063877
Generation 770, Mean Error: 10639.387332973069
Generation 775, Mean Error: 10524.892102262043
Generation 780, Mean Error: 10506.33334083241
Generation 785, Mean Error: 10146.831401141531
Generation 790, Mean Error: 10069.092496861664
Generation 795, Mean Error: 10118.210029909242
Generation 800, Mean Error: 9957.188100419595
Generation 805, Mean Error: 9679.32330990546
Generation 810, Mean Error: 9535.089389116354
Generation 815, Mean Error: 9510.178383072529
Generation 820, Mean Error: 9506.46532094218
Generation 825, Mean Error: 9406.098328526978
Generation 830, Mean Error: 9309.451291251324
Generation 835, Mean Error: 9195.483911179748
Generation 840, Mean Error: 9252.782934718372
Generation 845, Mean Error: 9385.97221226048
Generation 850, Mean Error: 9345.093704639861
Generation 855, Mean Error: 9317.721633794119
Generation 860, Mean Error: 9360.806707141512
Generation 865, Mean Error: 9331.53639285372
Generation 870, Mean Error: 9262.412923636919
Generation 875, Mean Error: 9157.872696899421
Generation 880, Mean Error: 9244.230642888937
Generation 885, Mean Error: 9204.66271893552
Generation 890, Mean Error: 9278.724735231015
Generation 895, Mean Error: 9224.946515964135
Generation 900, Mean Error: 9300.185166670915
Generation 905, Mean Error: 9365.707066623592
Generation 910, Mean Error: 9275.822776249624
Generation 915, Mean Error: 9307.906563939183
Generation 920, Mean Error: 9284.489067000104
Generation 925, Mean Error: 9099.519267577643
Generation 930, Mean Error: 9044.408545838785
Generation 935, Mean Error: 9069.197936249902
Generation 940, Mean Error: 8850.965671891134
Generation 945, Mean Error: 8911.84001370572
Generation 950, Mean Error: 8939.474201886896
Generation 955, Mean Error: 8989.309449689805
Generation 960, Mean Error: 8926.228915550828
Generation 965, Mean Error: 8753.824775428158
Generation 970, Mean Error: 8811.203529928867
Generation 975, Mean Error: 8775.115083903751
Generation 980, Mean Error: 8834.174489375111
Generation 985, Mean Error: 8848.04604461356
Generation 990, Mean Error: 8907.663623581084
Generation 995, Mean Error: 8786.417319294684
Generation 1000, Mean Error: 8720.80294624293
Generation 1005, Mean Error: 8651.197812036899
Generation 1010, Mean Error: 8541.264889454016
Generation 1015, Mean Error: 8473.728854346964
Generation 1020, Mean Error: 8581.672425036662
Generation 1025, Mean Error: 8608.443071233947
Generation 1030, Mean Error: 8598.293086682359
Generation 1035, Mean Error: 8522.941080808394
Generation 1040, Mean Error: 8447.771917330272
Generation 1045, Mean Error: 8414.515668891076
Generation 1050, Mean Error: 8369.957700768999
Generation 1055, Mean Error: 8356.44565783665
Generation 1060, Mean Error: 8272.863746739022
Generation 1065, Mean Error: 8186.94150034323
Generation 1070, Mean Error: 8163.9725125864925
Generation 1075, Mean Error: 8155.446361147539
Generation 1080, Mean Error: 8155.905477933879
Generation 1085, Mean Error: 8143.7211256360515
Generation 1090, Mean Error: 8092.419000403964
Generation 1095, Mean Error: 8049.973457759756
Generation 1100, Mean Error: 8073.592932298735
Generation 1105, Mean Error: 8058.362996409005
Generation 1110, Mean Error: 8125.483691310305
Generation 1115, Mean Error: 8095.003370193819
Generation 1120, Mean Error: 8072.571738744113
Generation 1125, Mean Error: 8049.26178709738
Generation 1130, Mean Error: 8033.053102618241
Generation 1135, Mean Error: 7990.534490391784
Generation 1140, Mean Error: 7970.752952942855
Generation 1145, Mean Error: 7961.767289002847
Generation 1150, Mean Error: 7894.502852296768
Generation 1155, Mean Error: 7861.8114692528925
Generation 1160, Mean Error: 7882.063484789218
Generation 1165, Mean Error: 7858.288134874567
Generation 1170, Mean Error: 7846.5874669859895
Generation 1175, Mean Error: 7833.443358683129
Generation 1180, Mean Error: 7900.835457765491
Generation 1185, Mean Error: 7840.364477139411
Generation 1190, Mean Error: 7823.644153826079
Generation 1195, Mean Error: 7803.790310212937
Generation 1200, Mean Error: 7854.773572767074
Generation 1205, Mean Error: 7850.66400802195
Generation 1210, Mean Error: 7853.362365390468
Generation 1215, Mean Error: 7814.460609730955
Generation 1220, Mean Error: 7827.640144320042
Generation 1225, Mean Error: 7834.698304712717
Generation 1230, Mean Error: 7817.900622938654
Generation 1235, Mean Error: 7825.79594118616
Generation 1240, Mean Error: 7836.414248099114
Generation 1245, Mean Error: 7828.272944577143
Generation 1250, Mean Error: 7801.944739391232
Generation 1255, Mean Error: 7847.157076369911
Generation 1260, Mean Error: 7830.648108240727
Generation 1265, Mean Error: 7833.384712466262
Generation 1270, Mean Error: 7857.237906378841
Generation 1275, Mean Error: 7872.2735414414565
Generation 1280, Mean Error: 7850.1769894890485
Generation 1285, Mean Error: 7863.512523164317
Generation 1290, Mean Error: 7860.488508189019
Generation 1295, Mean Error: 7855.536217468889
Generation 1300, Mean Error: 7944.0996678565025
Generation 1305, Mean Error: 7994.975783876534
Generation 1310, Mean Error: 8035.169694196566
Generation 1315, Mean Error: 8033.742741480229
Generation 1320, Mean Error: 7931.312082119647
Generation 1325, Mean Error: 7947.384172529666
Generation 1330, Mean Error: 7942.001944038982
Generation 1335, Mean Error: 7905.071586632078
Generation 1340, Mean Error: 7846.423136318881
Generation 1345, Mean Error: 7847.722880129877
Generation 1350, Mean Error: 7836.044198715878
Generation 1355, Mean Error: 7826.25340226849
Generation 1360, Mean Error: 7823.847982176189
Generation 1365, Mean Error: 7819.680818864804
Generation 1370, Mean Error: 7830.238614983228
Generation 1375, Mean Error: 7815.142835884857
Generation 1380, Mean Error: 7816.876025999146
Generation 1385, Mean Error: 7841.9207862542735
Generation 1390, Mean Error: 7848.434463649518
Generation 1395, Mean Error: 7826.36858623435
Generation 1400, Mean Error: 7810.557790755862
Generation 1405, Mean Error: 7787.145659665525
Generation 1410, Mean Error: 7796.643065639553
Generation 1415, Mean Error: 7775.776817676877
Generation 1420, Mean Error: 7781.94469986304
Generation 1425, Mean Error: 7799.061971554045
Generation 1430, Mean Error: 7780.78226588959
Generation 1435, Mean Error: 7801.503742039267
Generation 1440, Mean Error: 7883.833834444516
Generation 1445, Mean Error: 7881.807834288444
Generation 1450, Mean Error: 7828.777504136046
Generation 1455, Mean Error: 7797.1501274084685
Generation 1460, Mean Error: 7761.139124092903
Generation 1465, Mean Error: 7720.284558240412
Generation 1470, Mean Error: 7720.12127471677
Generation 1475, Mean Error: 7734.482304773677
Generation 1480, Mean Error: 7760.901520158382
Generation 1485, Mean Error: 7786.656091570015
Generation 1490, Mean Error: 7771.520242415629
Generation 1495, Mean Error: 7777.921084549965
Generation 1500, Mean Error: 7771.605017274695
Generation 1505, Mean Error: 7768.213251063819
Generation 1510, Mean Error: 7781.217743498844
Generation 1515, Mean Error: 7765.866380789273
Generation 1520, Mean Error: 7795.196083961326
Generation 1525, Mean Error: 7761.02695341943
Generation 1530, Mean Error: 7733.968096351631
Generation 1535, Mean Error: 7750.259403470304
Generation 1540, Mean Error: 7741.562546291121
Generation 1545, Mean Error: 7742.465822806361
Generation 1550, Mean Error: 7723.782974047317
Generation 1555, Mean Error: 7720.233693213267
Generation 1560, Mean Error: 7711.235181764358
Generation 1565, Mean Error: 7705.121242950798
Generation 1570, Mean Error: 7731.163549234883
Generation 1575, Mean Error: 7713.73759552601
Generation 1580, Mean Error: 7721.0288166088685
Generation 1585, Mean Error: 7719.4590522464605
Generation 1590, Mean Error: 7706.650931992403
Generation 1595, Mean Error: 7703.68972233049
Generation 1600, Mean Error: 7708.488492367766
Generation 1605, Mean Error: 7715.420941233272
Generation 1610, Mean Error: 7693.11112034344
Generation 1615, Mean Error: 7670.187815955252
Generation 1620, Mean Error: 7670.159032991908
Generation 1625, Mean Error: 7687.440601981579
Generation 1630, Mean Error: 7685.58602567299
